Ward no,What is the name of your ward?,Did you vote in the last BBMP elections (2010)?,Mention the elections that you voted in.,Who is your corporator?,What are the problems you face in your area? Issue 1,What are the problems you face in your area? Issue 2,What are the problems you face in your area? Issue 3,What are the problems you face in your area? Issue 4,What are the problems you face in your area? Issue 5,What are the problems you face in your area? Issue 6,What are the problems you face in your area? Issue 7,What are the problems you face in your area? Issue 8,What are the problems you face in your area? Issue 9,The issues to which the councillor gave importance [Hospitals/Primary health care centre],The issues to which the councillor gave importance [Building and Zoning Regulations],The issues to which the councillor gave importance [Restoration of lakes],"The issues to which the councillor gave importance [Roads, footpath]",The issues to which the councillor gave importance [Street lights],"The issues to which the councillor gave importance [Public facilities/basic amenities - playground, parks, public toilets etc.]",The issues to which the councillor gave importance [Cleanliness and garbage clearance],"The issues to which the councillor gave importance [Encroachment of public land, lakes and roads]",The issues to which the councillor gave importance [Public schooling],The issues to which the councillor gave importance [Public health & sanitation],"How did she/he perform at the ward level, on each of the above issues? [Hospitals/Primary health care centre]","How did she/he perform at the ward level, on each of the above issues? [Building and Zoning Regulations]","How did she/he perform at the ward level, on each of the above issues? [Restoration of lakes]","How did she/he perform at the ward level, on each of the above issues? [Roads, footpath]","How did she/he perform at the ward level, on each of the above issues? [Street lights]","How did she/he perform at the ward level, on each of the above issues? [Public facilities/basic amenities - playground, parks, public toilets etc.]","How did she/he perform at the ward level, on each of the above issues? [Cleanliness and garbage clearance]","How did she/he perform at the ward level, on each of the above issues? [Encroachment of public land/lakes]","How did she/he perform at the ward level, on each of the above issues? [Encouraging public schooling]","How did she/he perform at the ward level, on each of the above issues? [Public health and sanitation]",Rate your corporator. [Interaction with public],Rate your corporator. [Accessible to public],Rate your corporator. [How trustworthy is your corporator?],Rate your corporator. [How corrupt is your corporator?],"Do you think your current corporator acted independently, free of pressure from family members or friends?","Would you vote for your current corporator, if she/he contests elections once again? *",What is important to you during an election?,What is important to you during an election? 2,What is important to you during an election? 3,What is important to you during an election? 4,What is important to you during an election? 5,What is important to you during an election? 6,"Who is the leader who can help solve Bangalore's problems, according to you?","Which party's candidate are you likely to vote for, in BBMP elections 2015?",Which political party represents Bangalore's interest best?,Age,Educational Qualification,Occupation,Monthly - family income levels,Gender,What are the languages you speak?,What are the languages you speak? 2,What are the languages you speak? 3,What are the languages you speak? 4,What are the languages you speak? 5,What are the languages you speak? 6,
128,Nagarbhavi,No - I was not on the voters list,"Assembly elections 2013, Parliament elections 2014",Umesh Shetty,Garbage black spots, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds,,,,,2,1 - Low Importance,1 - Low Importance,2,5 - High Importance,5 - High Importance,1 - Low Importance,1 - Low Importance,2,2,3 - Average,3 - Average,1- Very Poor,3 - Average,4 - Good,5 - Very Good,3 - Average,1- Very Poor,3 - Average,1- Very Poor,Medium,Medium,Medium,Low,Yes,Yes,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Caste/religion, Political party of the candidate,Narendra Modi,BJP candidate,BJP,31-40,Post graduate,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Hindi, English,,,,
32,Kavalbyrasandra,No - I did not like the candidates,I did not vote in any election,Y R Gowramma,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths,,,,,,4,4,3,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,4,4,5 - High Importance,1- Very Poor,2 - Poor,Not applicable,2 - Poor,4 - Good,3 - Average,1- Very Poor,Not applicable,3 - Average,2 - Poor,Zero,Low,Zero,High,No,No,Candidate's individual capabilities, Manifesto or promises, Clean image of candidate, Political party of the candidate, Corruption and scams of the party elsewhere in India,,Nandan Nilekani,AAP candidate,Aam Aadmi Party,31-40,Post graduate,Private Firm Employee,"Between Rs 1,00,000 and Rs 2,00,000",Male,Malayalam, Hindi, English,,,,
147,Adugodi,No - I was not on the voters list,I did not vote in any election,Murugesh Mudaliar.S.M,Bad roads with potholes, Unwalkable footpaths, Lack of parks and playgrounds,,,,,,,2,2,2,1 - Low Importance,3,1 - Low Importance,2,2,2,3,3 - Average,3 - Average,3 - Average,3 - Average,3 - Average,3 - Average,3 - Average,3 - Average,3 - Average,3 - Average,Zero,Zero,Low,Can't say,No,I'm not interested in voting in this election.,Clean image of candidate, Political party of the candidate,,,,,Siddaramaiah,Congress candidate,Congress,21-25,Graduate diploma/degree,Private Firm Employee,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Hindi, English,,,,
58,New Thippasandra,No - other reasons,"Assembly elections 2013, Parliament elections 2014",Do not know,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,,2,2,1 - Low Importance,2,3,2,2,2,2,3,2 - Poor,3 - Average,Not applicable,2 - Poor,3 - Average,2 - Poor,3 - Average,Not applicable,3 - Average,2 - Poor,Zero,Can't say,Can't say,Can't say,,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,,Party doesn't matter; candidate does,,31-40,Doctorate,Private Firm Employee,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Hindi, English,,,,
150,Bellandur,No - other reasons,I did not vote in any election,BABU REDDY,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,3 - Average,1- Very Poor,2 - Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,3 - Average,1- Very Poor,Zero,Zero,Zero,Very high,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Corruption and scams of the party elsewhere in India, Willingness to work in the first place,,"We need selfless people as leaders. Examples are Santosh Hegde, Anna Hazare",Loksatta candidate,Loksatta,31-40,Post graduate,Private Firm Employee,"Between Rs 50,000 and Rs 1,00,000",Male,Hindi, English, Marathi,,,,
174,H.S.R. Layout,No - I was not on the voters list,I did not vote in any election,,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Encroachment of public land,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Zero,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Political party of the candidate, Candidate's personality/ charm,,BJP candidate,BJP,31-40,Graduate diploma/degree,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Hindi, English,,,,
149,Varthur,No - I was not on the voters list,I did not vote in any election,,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Encroachment of public land, No Cauvery water supply,,,,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,Low,Low,Low,Low,No,No,Candidate's individual capabilities, Past work record of candidate,,,,,Nandan Nilenkeni,Party doesn't matter; candidate does,Aam Aadmi Party,31-40,Graduate diploma/degree,IT/ITES,"Between Rs 25,000 and Rs 50,000",Male,Hindi, English,,,,,
175,Bommanahalli,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",roopa ramesh,Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Encroachment of public land,,,,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,1 - Low Importance,2,2,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Low,Zero,Zero,Zero,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Corruption and scams of the party elsewhere in India,,none so far,Party doesn't matter; candidate does,Congress,41-50,Graduate diploma/degree,Business/self employed,"Above Rs 2,00,000",Female,Tamil, Telugu, Hindi, English, multiple foreign languages,,
150,Bellandur,No - I was not on the voters list,Parliament elections 2014,,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of parks and playgrounds, Encroachment of public land, Very bad. they did not work at all.,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Candidate's personality/ charm, Corruption and scams of the party elsewhere in India,,,Party doesn't matter; candidate does,Any party which works,31-40,Post graduate,Private Firm Employee,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Hindi, English,,,,
196,Anajanapura,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",S Gangadhar,Bad roads with potholes, Unwalkable footpaths, Lack of parks and playgrounds, Encroachment of public land,,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,4,1 - Low Importance,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Zero,No,No,Past work record of candidate, Clean image of candidate,,,,,,Party doesn't matter; candidate does,,25-30,Post graduate,Private Firm Employee,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Urdu, Hindi, English,,,
23,Nagavara,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",irshad begum,Bad roads with potholes, Unwalkable footpaths, Encroachment of public land,,,,,,,Not applicable,Not applicable,Not applicable,Not applicable,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,Not applicable,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Very high,No,never ever,Past work record of candidate,,,,,,unknown,yet to decide,BJP,25-30,Graduate diploma/degree,Private Firm Employee,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Telugu, Hindi, English,,,
168,Pattabhirama Nagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",CK Ramamurthy,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Heavy traffic & poor management,,,,3,4,4,5 - High Importance,5 - High Importance,5 - High Importance,4,4,3,5 - High Importance,3 - Average,2 - Poor,2 - Poor,3 - Average,3 - Average,3 - Average,2 - Poor,2 - Poor,3 - Average,2 - Poor,Medium,Medium,Low,High,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Political party of the candidate,,,Doesn't currently exist,Party doesn't matter; candidate does,Loksatta,25-30,Post graduate,Private Firm Employee,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Tamil, English,,,,
149,Varthur,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",S Uday Kumar,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Panthur railway Crossing, Traffic Jam,,3,1 - Low Importance,1 - Low Importance,2,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,3,1 - Low Importance,3 - Average,1- Very Poor,1- Very Poor,1- Very Poor,2 - Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,2 - Poor,Zero,Zero,Zero,Very high,No,No,Candidate's individual capabilities, Past work record of candidate, Political party of the candidate, Corruption and scams of the party elsewhere in India,,,,Loksatta candidate,None,31-40,Graduate diploma/degree,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Male,Hindi, English,,,,,
89,Jogupalya,Yes,BBMP elections 2010,Goutham Kumar,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths,,,,,,3,2,2,2,2,1 - Low Importance,1 - Low Importance,3,2,1 - Low Importance,2 - Poor,2 - Poor,2 - Poor,2 - Poor,3 - Average,1- Very Poor,1- Very Poor,3 - Average,2 - Poor,1- Very Poor,Medium,Medium,Medium,Medium,Yes,No,Candidate's individual capabilities, Manifesto or promises, Clean image of candidate,,,,,Party doesn't matter; candidate does,BJP,31-40,Graduate diploma/degree,Business/self employed,"Between Rs 25,000 and Rs 50,000",Male,Telugu,,,,,,
86,Marathhalli,No - other reasons,"Assembly elections 2013, Parliament elections 2014",,No street lights, Bad roads with potholes,,,,,,,,2,4,3,5 - High Importance,5 - High Importance,4,4,4,2,3,3 - Average,2 - Poor,2 - Poor,1- Very Poor,1- Very Poor,2 - Poor,2 - Poor,Not applicable,Not applicable,Not applicable,Low,Can't say,Can't say,Can't say,,No,Past work record of candidate, Political party of the candidate,,,,,,BJP candidate,BJP,31-40,Graduate diploma/degree,IT/ITES,"Above Rs 2,00,000",Male,Hindi, English,,,,,
80,Hoysala Nagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Savitha Ramesh,Garbage black spots, No street lights, Unwalkable footpaths,,,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,3,2,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,3 - Average,2 - Poor,2 - Poor,2 - Poor,1- Very Poor,1- Very Poor,1- Very Poor,Low,Medium,Zero,Zero,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,,Party doesn't matter; candidate does,Loksatta,41-50,Graduate diploma/degree,Private Firm Employee,"Above Rs 2,00,000",Male,Kannada, Tamil, Hindi, English,,,
84,Hagaduru,No - I was not on the voters list,Parliament elections 2014,ha srinivasa,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land, no sewerage line,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,,BJP candidate,none,31-40,Post graduate,Private Firm Employee,"Between Rs 1,00,000 and Rs 2,00,000",Male,Hindi, English,,,,,
163,Kathriguppe,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",venkatesh murthy,Drainage pipes are not replaced for a long time. Repeated drainage blocks. BWSSB cleaning staff demands heavy amount each time for cleaning. This has become a big nuisance ,,,,,,,,,Not applicable,Not applicable,Not applicable,1 - Low Importance,5 - High Importance,4,4,Not applicable,Not applicable,4,Not applicable,Not applicable,Not applicable,4 - Good,4 - Good,4 - Good,3 - Average,3 - Average,Not applicable,2 - Poor,Zero,Zero,Can't say,Can't say,No,No,Candidate's individual capabilities, Clean image of candidate, selfless work culture and interest to improve the ward,,,,He should be citizens'friendly and spend all the monies allocated for the ward for its improvement and make the ward one of the best wards providing all the basic facilities.,Party doesn't matter; candidate does, none of the above.,51- 60,Post graduate,Government Employee,"Between Rs 1,00,000 and Rs 2,00,000",Female,Kannada,,,,,,
82,Garudachar Palya,No - I was not on the voters list,Parliament elections 2014,,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Low,Low,Low,Very high,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Candidate's personality/ charm, Corruption and scams of the party elsewhere in India,,non-corupt leader,Party doesn't matter; candidate does,Aam Aadmi Party,31-40,Post graduate,Private Firm Employee,"Between Rs 1,00,000 and Rs 2,00,000",Male,Hindi, English,,,,,
54,Hoodi,No - I was not on the voters list,Parliament elections 2014,IT firm,Bad roads with potholes, Unwalkable footpaths, Lack of public toilets,,,,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Can't say,Can't say,Can't say,Can't say,Yes,Need to check details of corporator,Candidate's individual capabilities, Manifesto or promises, Political party of the candidate, Candidate's personality/ charm,,,,AAP candidate,Aam Aadmi Party,25-30,Graduate diploma/degree,IT/ITES,"Above Rs 2,00,000",Male,Hindi, English,,,,,
34,Gangenahalli,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",M NAGARAJA,Lack of public toilets, Lack of parks and playgrounds,,,,,,,,5 - High Importance,3,Not applicable,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,Not applicable,5 - High Importance,5 - High Importance,Not applicable,4 - Good,Not applicable,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,Not applicable,5 - Very Good,5 - Very Good,Very high,Very high,Very high,Low,Yes,Yes,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,,BJP candidate,BJP,41-50,Graduate diploma/degree,Government Employee,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Tamil, Telugu, Malayalam, Hindi, English,
150,Bellandur,No - I was not on the voters list,Parliament elections 2014,,Garbage black spots, Bad roads with potholes, Lack of parks and playgrounds,,,,,,,2,2,2,1 - Low Importance,3,1 - Low Importance,2,2,2,2,3 - Average,3 - Average,3 - Average,1- Very Poor,3 - Average,1- Very Poor,2 - Poor,3 - Average,3 - Average,3 - Average,Low,Medium,Medium,Medium,,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,,Party doesn't matter; candidate does,,25-30,Graduate diploma/degree,Private Firm Employee,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Telugu, Hindi, English,,,
7,Byatarayanapura,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Smt.Indira,Garbage black spots, Bad roads with potholes, Sewage overflow,,,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,5 - High Importance,2,3,2,2,2,3 - Average,3 - Average,3 - Average,3 - Average,4 - Good,3 - Average,4 - Good,2 - Poor,2 - Poor,2 - Poor,Medium,Low,High,Low,No,Yes,Candidate's individual capabilities, Manifesto or promises, Clean image of candidate,,,,Sadananda Gowda,Congress candidate,BJP,60+,Post graduate,Professional (Medical/Law/CA),"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Malayalam, Hindi, English,,,
79,Sarvajna Nagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Kodandarama Reddy,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Medium,Medium,Low,High,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,Arjun Kejriwal,AAP candidate,Aam Aadmi Party,31-40,Graduate diploma/degree,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Female,Kannada, Tamil, Hindi, English, Marathi,,
